date,0,Philadelphia,Miami-Dade,Wayne,Denver,Multnomah
3/26/20,986,402,653,1389,262,45
3/27/20,1316,530,869,1810,312,67
3/28/20,1685,709,1121,2316,367,81
3/29/20,1921,865,1471,2704,408,91
3/30/20,2256,1072,1700,3195,465,100
3/31/20,2713,1315,2123,3735,539,116
4/1/20,3206,1478,2415,4470,586,134
4/2/20,3766,1852,2885,5069,643,160
4/3/20,4385,2284,3363,6096,716,175
4/4/20,4897,2610,3889,6762,769,209
4/5/20,5290,3135,4145,7518,825,233
4/6/20,5879,3611,4670,8270,847,243
4/7/20,6432,4012,5125,9045,884,258
4/8/20,7145,4456,5460,9626,927,286
4/9/20,8086,5029,5897,10093,1031,302
4/10/20,8981,5521,6299,10539,1113,317
4/11/20,9798,6022,6757,10951,1182,343
4/12/20,11019,6352,7057,11164,1247,374
4/13/20,11562,6810,7458,11648,1346,398
4/14/20,12126,7130,7711,12209,1402,420
4/15/20,12960,7441,8066,12560,1468,430
4/16/20,14026,8045,8325,13018,1549,448
4/17/20,15016,8563,8823,13249,1636,467
4/18/20,15993,9014,9044,13487,1723,493
4/19/20,16811,9214,9353,13708,1784,514
4/20/20,17567,9553,9656,13928,1880,520
4/21/20,18290,10028,10055,14271,2004,542
4/22/20,19154,10643,10152,14578,2071,566
4/23/20,20463,11226,10587,15011,2172,582
4/24/20,22405,11877,10925,15425,2385,596
4/25/20,23471,12329,11004,15566,2487,623
4/26/20,24191,12566,11350,15767,2583,652
4/27/20,24836,12868,11569,15892,2682,664
4/28/20,25557,13445,11830,16193,2791,677
4/29/20,26338,13445,11926,16514,2890,696
4/30/20,27098,14468,12063,16749,3001,707
5/1/20,27902,15137,12388,16990,3092,720
5/2/20,28654,15527,12631,17126,3222,734
5/3/20,29147,15854,12774,17318,3345,739
5/4/20,29698,16040,13091,17334,3428,754
5/5/20,30153,16410,13223,17411,3546,769
5/6/20,30803,16697,13370,17591,3674,793
5/7/20,31408,17047,13584,17687,3799,809
5/8/20,31958,17517,13663,17844,3892,839
5/9/20,32426,17881,13840,17980,4001,863
5/10/20,32868,18211,14006,18095,4070,885
5/11/20,33130,18313,14166,18214,4118,899
5/12/20,33407,18537,14384,18294,4187,908
5/13/20,33788,18779,14467,18409,4254,921
5/14/20,34262,19093,14741,18790,4359,940
5/15/20,34679,19349,15010,18902,4452,957
5/16/20,35229,19606,15365,19036,4548,979
5/17/20,35608,19606,15657,19085,4656,984
5/18/20,36016,19950,15863,19148,4720,996
5/19/20,36329,20129,15941,19312,4790,1005
5/20/20,36670,20359,16033,19452,4858,1018
5/21/20,37019,20700,16366,19558,4948,1026
5/22/20,37265,21009,16521,19622,5056,1037
5/23/20,37523,21234,16693,19717,5151,1037
5/24/20,37854,21234,16844,19794,5173,1040
5/25/20,38019,21641,17040,19839,5216,1045
5/26/20,38134,21738,17167,19949,5269,1052
5/27/20,38302,21975,17224,20022,5316,1093
5/28/20,38555,22150,17395,20082,5434,1103
5/29/20,38758,22405,17640,20250,5569,1121
5/30/20,38997,22629,17825,20277,5690,1142
5/31/20,39223,22629,17999,20438,5775,1165
6/1/20,40805,22881,18138,20469,5802,1171
6/2/20,40932,23034,18223,20491,5854,1181
6/3/20,41136,23160,18455,20564,5917,1194
6/4/20,41275,23281,18778,20613,5977,1224
6/5/20,41441,23407,19055,21065,6041,1240
6/6/20,41641,23529,19298,21186,6079,1268
6/7/20,41755,23529,19546,21410,6106,1286
6/8/20,41840,23691,19755,21478,6138,1302
6/9/20,41912,23822,19979,21556,6176,1337
6/10/20,41988,23951,20276,21593,6204,1369
6/11/20,42191,24107,20547,21652,6232,1407
6/12/20,42324,24228,20871,21683,6257,1443
6/13/20,42455,24338,21632,21734,6301,1490
6/14/20,42530,24338,21916,21772,6330,1522
6/15/20,42561,24475,22196,21816,6376,1559
6/16/20,42636,24591,22740,21828,6401,1601
6/17/20,42780,24655,23272,21920,6445,1635
6/18/20,42884,24723,23853,21964,6493,1668
6/19/20,42957,24841,24375,22018,6565,1717
6/20/20,43072,24841,25079,22108,6603,1751
6/21/20,43125,24841,25789,22162,6630,1835
6/22/20,43176,25116,26238,22203,6663,1852
6/23/20,43248,25335,26821,22268,6700,1896
6/24/20,43325,25443,27778,22347,6775,1941
6/25/20,43405,25443,28663,22476,6835,1970
6/26/20,43493,25693,30195,22503,6901,2092
6/27/20,43623,25693,31561,22603,6947,2090
6/28/20,43710,25693,33713,22645,7007,2142
6/29/20,43741,25991,35221,22686,7065,2171
6/30/20,43781,26133,36819,22791,7091,2205
7/1/20,43851,26257,37960,22879,7149,2242
7/2/20,43931,26400,40264,23015,7228,2304
7/3/20,44019,26536,42310,23078,7282,2364
7/4/20,44087,26565,44728,23147,7319,2420
7/5/20,44138,26565,47010,23206,7344,2491
7/6/20,44207,26810,48991,23283,7392,2532
7/7/20,44291,26901,51057,23459,7477,2583
7/8/20,44420,26969,53973,23621,7563,2611
7/9/20,44520,27228,55960,23725,7651,2697
7/10/20,44605,27341,58340,23835,7759,2730
7/11/20,44708,27367,60867,23922,7832,2824
7/12/20,44784,27367,64443,24020,7902,2888
7/13/20,44878,27575,67712,24100,7952,2966
7/14/20,44986,27723,69802,24294,8011,3042
7/15/20,45063,27867,72316,24549,8098,3100
7/16/20,45130,28024,75424,24784,8164,3205
7/17/20,45237,28159,77866,24939,8254,3290
7/18/20,45364,28196,81025,25075,8320,3374
7/19/20,45487,28196,84237,25160,8371,3491
7/20/20,45579,28592,87034,25251,8429,3571
7/21/20,45661,28742,89556,25434,8532,3636
7/22/20,45762,28874,92344,25544,8650,3683
7/23/20,45855,29102,95067,25673,8809,3748
7/24/20,45983,29303,98429,25794,8939,3818
7/25/20,46077,29303,101853,25902,9101,3883
7/26/20,46229,29303,104754,26109,9205,3926
7/27/20,46310,29803,107314,26186,9256,4039
7/28/20,46389,29945,110351,26356,9387,4115
7/29/20,46565,30077,113142,26714,9482,4201
7/30/20,46730,30213,115915,26949,9529,4260
7/31/20,46928,30354,118461,27092,9623,4335
8/1/20,47080,30354,121206,27208,9693,4403
8/2/20,47249,30354,122689,27259,9778,4450
8/3/20,47310,30665,123643,27402,9813,4497
8/4/20,47508,30771,124758,27589,9876,4553
8/5/20,47688,30877,125948,27713,9968,4608
8/6/20,47787,30986,127676,27861,10052,4653
8/7/20,47971,31120,129408,27980,10122,4762
8/8/20,48123,31120,131216,28115,10173,4849
8/9/20,48269,31120,132460,28188,10224,4917
8/10/20,48399,31448,133622,28298,10263,4960
8/11/20,48582,31584,135129,28448,10319,5014
8/12/20,48582,31725,139270,28416,10370,5056
8/13/20,48582,31910,140983,28715,10426,5135
8/14/20,48582,32057,142661,28902,10471,5186
8/15/20,48582,32186,144406,29087,10508,5264
8/16/20,48582,32186,145306,29136,10572,5330
8/17/20,48582,32348,146025,29242,10607,5387
8/18/20,48582,32432,146989,29424,10651,5410
8/19/20,49407,32569,148092,29542,10691,5448
8/20/20,49531,32674,149161,29647,10732,5505
8/21/20,49723,32791,150304,29647,10789,5543
8/22/20,49762,32936,151213,29879,10842,5597
8/23/20,49762,32936,151985,30038,10901,5661
8/24/20,50062,33054,152611,30191,10931,5718
8/25/20,50221,33139,153384,30358,11038,5761
8/26/20,50360,33255,154134,30620,11021,5810
8/27/20,50531,33343,154756,30845,11077,5833
8/28/20,50724,33495,155417,30980,11147,5902
8/29/20,50912,33607,156037,31086,11196,5942
8/30/20,50998,33607,156558,31178,11225,5975
8/31/20,51137,33778,156909,31256,11265,6007
9/1/20,51284,33909,159058,31382,11307,6053
9/2/20,47919,34144,159399,31508,11339,6081
9/3/20,48088,34311,159977,31632,11366,6142
9/4/20,48087,34445,160468,31850,11417,6185
9/5/20,48252,34445,161017,31983,11479,6224
9/6/20,48409,34445,161362,31983,11500,6273
9/7/20,48508,34699,161636,32303,11557,6302
9/8/20,48580,34742,162025,32401,11579,6343
9/9/20,48678,34742,162432,32646,11592,6365
9/10/20,48851,34887,162893,32877,11627,6399
9/11/20,49049,34986,163374,33138,11685,6458
9/12/20,49268,35094,163789,33276,11760,6522
9/13/20,49376,35094,164085,33276,11816,6556
9/14/20,49482,35257,164298,33536,11883,6584
9/15/20,49610,35344,164687,33678,11976,6618